summary,rating,emotion
Till you're 90 Wolverine!,9,neutral
"""You were always the wrong one, till you weren't.""",9,annoyance
The Bloodiest Mayhem Of The Century!,8,neutral
Easter Egg Heaven,10,neutral
Awesome,8,admiration
The best watch in years,9,admiration
Pure cinematic candy,9,approval
Pure bloody fun,9,amusement
A fun farewell and promising introduction,8,amusement
Half way In...,7,neutral
Fun but flawed,7,neutral
"This isnt a movie, its a checklist.",4,neutral
Welcome Marvel Jesus of the MCU!!!,10,neutral
Pure nostalgia. Easter eggs loaded,8,neutral
A blast and dream for comic book fans but a very flawed story!,8,approval
Beautiful tribute & a whole lot of fun,9,joy
"Deadpool would say, 'An Orgasmic Experience'",8,neutral
Weak story but a fun ride.,7,amusement
"Loved it.. Forget the last 5 years, watch this!!",10,approval
Marvel fails to be original again,6,neutral
"Weak MCU Fluff, Fun but 100% Fan-Service",4,neutral
"To fully enjoy the movie, you need to have seen many Marvel movies and some TV series.",10,joy
Great movie mist see!,8,admiration
INCREDIBLE,10,neutral
This is so Deadpool,8,neutral
Till you're 90 Wolverine!,9,neutral
"""You were always the wrong one, till you weren't.""",9,annoyance
The Bloodiest Mayhem Of The Century!,8,neutral
Easter Egg Heaven,10,neutral
Awesome,8,admiration
The best watch in years,9,admiration
Pure cinematic candy,9,approval
Pure bloody fun,9,amusement
A fun farewell and promising introduction,8,amusement
Half way In...,7,neutral
Fun but flawed,7,neutral
"This isnt a movie, its a checklist.",4,neutral
Welcome Marvel Jesus of the MCU!!!,10,neutral
Pure nostalgia. Easter eggs loaded,8,neutral
A blast and dream for comic book fans but a very flawed story!,8,approval
Beautiful tribute & a whole lot of fun,9,joy
"Deadpool would say, 'An Orgasmic Experience'",8,neutral
Weak story but a fun ride.,7,amusement
"Loved it.. Forget the last 5 years, watch this!!",10,approval
Marvel fails to be original again,6,neutral
"Weak MCU Fluff, Fun but 100% Fan-Service",4,neutral
"To fully enjoy the movie, you need to have seen many Marvel movies and some TV series.",10,joy
Great movie mist see!,8,admiration
INCREDIBLE,10,neutral
This is so Deadpool,8,neutral
MASTERPIECE,10,neutral
The best movie made by marvel,10,admiration
"Wolverine Hates Deadpool, Deadpool Loves Wolverine. The Dynamic Duo.",7,neutral
Best Marvel movie after Endgame!!,10,admiration
It knows what it is,7,neutral
Disappointing,4,neutral
Hilarious and Packed with Surprises!,10,neutral
This is the real Wolverine,10,neutral
Not this is the Marvel movie we've been waiting for.,9,neutral
Most fun I had in theatre this year...,10,amusement
Marvel Jesus itself,10,neutral
"Deadpool at its best, and a extremely good performance from Hugh.",9,admiration
"Decent action, Hilarious Jokes, Overloaded on fan service, Weak Story Line",7,joy
Massively Fun,9,approval
It is not bad by no means however it isn't as good as people claim it to be either.,7,disapproval
Meh...I like Deadpool 1&2 better...,5,love
"Ryan Reynolds is such a simp for Deadpool, and I love him for it",10,love
The first and last review,10,neutral
Delightful 😊,9,admiration
"Pure Art, Pure Satisfaction!",10,approval
The best Marvel movie after Endgame,10,admiration
The most fun I had at a movie theatre in years,10,joy
4th Walls Breaking and Easter Eggs GALORE!,7,neutral
The Duo we've all been waiting for,9,curiosity
Bogged down by fanservice,7,neutral
Till you're 90 Wolverine!,9,neutral
"""You were always the wrong one, till you weren't.""",9,annoyance
The Bloodiest Mayhem Of The Century!,8,neutral
Easter Egg Heaven,10,neutral
Awesome,8,admiration
The best watch in years,9,admiration
Pure cinematic candy,9,approval
Pure bloody fun,9,amusement
A fun farewell and promising introduction,8,amusement
Half way In...,7,neutral
Fun but flawed,7,neutral
"This isnt a movie, its a checklist.",4,neutral
Welcome Marvel Jesus of the MCU!!!,10,neutral
Pure nostalgia. Easter eggs loaded,8,neutral
A blast and dream for comic book fans but a very flawed story!,8,approval
Beautiful tribute & a whole lot of fun,9,joy
"Deadpool would say, 'An Orgasmic Experience'",8,neutral
Weak story but a fun ride.,7,amusement
"Loved it.. Forget the last 5 years, watch this!!",10,approval
Marvel fails to be original again,6,neutral
"Weak MCU Fluff, Fun but 100% Fan-Service",4,neutral
"To fully enjoy the movie, you need to have seen many Marvel movies and some TV series.",10,joy
Great movie mist see!,8,admiration
INCREDIBLE,10,neutral
This is so Deadpool,8,neutral
MASTERPIECE,10,neutral
The best movie made by marvel,10,admiration
"Wolverine Hates Deadpool, Deadpool Loves Wolverine. The Dynamic Duo.",7,neutral
Best Marvel movie after Endgame!!,10,admiration
It knows what it is,7,neutral
Disappointing,4,neutral
Hilarious and Packed with Surprises!,10,neutral
This is the real Wolverine,10,neutral
Not this is the Marvel movie we've been waiting for.,9,neutral
Most fun I had in theatre this year...,10,amusement
Marvel Jesus itself,10,neutral
"Deadpool at its best, and a extremely good performance from Hugh.",9,admiration
"Decent action, Hilarious Jokes, Overloaded on fan service, Weak Story Line",7,joy
Massively Fun,9,approval
It is not bad by no means however it isn't as good as people claim it to be either.,7,disapproval
Meh...I like Deadpool 1&2 better...,5,love
"Ryan Reynolds is such a simp for Deadpool, and I love him for it",10,love
The first and last review,10,neutral
Delightful 😊,9,admiration
"Pure Art, Pure Satisfaction!",10,approval
The best Marvel movie after Endgame,10,admiration
The most fun I had at a movie theatre in years,10,joy
4th Walls Breaking and Easter Eggs GALORE!,7,neutral
The Duo we've all been waiting for,9,curiosity
Bogged down by fanservice,7,neutral
Proof that Marvel has Lost it's Heart,5,neutral
"I couldn't believe the epic scenes and exciting fights I was seeing, especially after the whole Deadpool episode came together.",10,nervousness
Refreshing fun,9,joy
Raunchy and witty with a bromance like Butch and Sundance's.,10,disgust
The Multiverse of Madness I wanted but didn't get!,9,neutral
LFG!,9,neutral
It was exactly the movie I wanted it to be,9,neutral
Wall to wall well-done Fan-Service,6,neutral
Reynolds and Jackman are awsome but...,10,neutral
Definitely fan service.,6,neutral
"I really wanted it to be a great movie, but...",2,admiration
Meh ....,10,neutral
ABSOLUTELY HILARIOUS,10,approval
Brilliant,9,admiration
"Gory , hardcore and Fantastic",9,neutral
Fourth Wall Shatter,10,neutral
"Without spoilers, a must watch Marvel film!! Excellent",10,admiration
"Marvel Jesus, laughter and nostalgia",7,neutral
Don't hate me....,10,disapproval
Marvel Jesus,6,neutral
"It was like a fan-made, fake movie trailer with little plot...",3,neutral
Parody of a parody of an in-joke of a fan service of a....,8,neutral
"Fun, fitting, enjoyable, beginning..?",9,excitement
Fun Movie!,10,excitement
Till you're 90 Wolverine!,9,neutral
"""You were always the wrong one, till you weren't.""",9,annoyance
The Bloodiest Mayhem Of The Century!,8,neutral
Easter Egg Heaven,10,neutral
Awesome,8,admiration
The best watch in years,9,admiration
Pure cinematic candy,9,approval
Pure bloody fun,9,amusement
A fun farewell and promising introduction,8,amusement
Half way In...,7,neutral
Fun but flawed,7,neutral
"This isnt a movie, its a checklist.",4,neutral
Welcome Marvel Jesus of the MCU!!!,10,neutral
Pure nostalgia. Easter eggs loaded,8,neutral
A blast and dream for comic book fans but a very flawed story!,8,approval
Beautiful tribute & a whole lot of fun,9,joy
"Deadpool would say, 'An Orgasmic Experience'",8,neutral
Weak story but a fun ride.,7,amusement
"Loved it.. Forget the last 5 years, watch this!!",10,approval
Marvel fails to be original again,6,neutral
"Weak MCU Fluff, Fun but 100% Fan-Service",4,neutral
"To fully enjoy the movie, you need to have seen many Marvel movies and some TV series.",10,joy
Great movie mist see!,8,admiration
INCREDIBLE,10,neutral
This is so Deadpool,8,neutral
MASTERPIECE,10,neutral
The best movie made by marvel,10,admiration
"Wolverine Hates Deadpool, Deadpool Loves Wolverine. The Dynamic Duo.",7,neutral
Best Marvel movie after Endgame!!,10,admiration
It knows what it is,7,neutral
Disappointing,4,neutral
Hilarious and Packed with Surprises!,10,neutral
This is the real Wolverine,10,neutral
Not this is the Marvel movie we've been waiting for.,9,neutral
Most fun I had in theatre this year...,10,amusement
Marvel Jesus itself,10,neutral
"Deadpool at its best, and a extremely good performance from Hugh.",9,admiration
"Decent action, Hilarious Jokes, Overloaded on fan service, Weak Story Line",7,joy
Massively Fun,9,approval
It is not bad by no means however it isn't as good as people claim it to be either.,7,disapproval
Meh...I like Deadpool 1&2 better...,5,love
"Ryan Reynolds is such a simp for Deadpool, and I love him for it",10,love
The first and last review,10,neutral
Delightful 😊,9,admiration
"Pure Art, Pure Satisfaction!",10,approval
The best Marvel movie after Endgame,10,admiration
The most fun I had at a movie theatre in years,10,joy
4th Walls Breaking and Easter Eggs GALORE!,7,neutral
The Duo we've all been waiting for,9,curiosity
Bogged down by fanservice,7,neutral
Proof that Marvel has Lost it's Heart,5,neutral
"I couldn't believe the epic scenes and exciting fights I was seeing, especially after the whole Deadpool episode came together.",10,nervousness
Refreshing fun,9,joy
Raunchy and witty with a bromance like Butch and Sundance's.,10,disgust
The Multiverse of Madness I wanted but didn't get!,9,neutral
LFG!,9,neutral
It was exactly the movie I wanted it to be,9,neutral
Wall to wall well-done Fan-Service,6,neutral
Reynolds and Jackman are awsome but...,10,neutral
Definitely fan service.,6,neutral
"I really wanted it to be a great movie, but...",2,admiration
Meh ....,10,neutral
ABSOLUTELY HILARIOUS,10,approval
Brilliant,9,admiration
"Gory , hardcore and Fantastic",9,neutral
Fourth Wall Shatter,10,neutral
"Without spoilers, a must watch Marvel film!! Excellent",10,admiration
"Marvel Jesus, laughter and nostalgia",7,neutral
Don't hate me....,10,disapproval
Marvel Jesus,6,neutral
"It was like a fan-made, fake movie trailer with little plot...",3,neutral
Parody of a parody of an in-joke of a fan service of a....,8,neutral
"Fun, fitting, enjoyable, beginning..?",9,excitement
Fun Movie!,10,excitement
Best Deadpool Movie and the Funniest Marvel Movie Of All Time!!!,10,admiration
It's a Riot,10,neutral
Perfection to it's core!,8,joy
A love letter to fans,6,love
"A fun packed farewell for the Fox legends, but not the best one out there.",10,admiration
Number 3 is a charm,6,admiration
Really funny and fun but lacking,5,nervousness
A little big adventure of poor humour and lacklustre cameos,10,admiration
"Deadpool & Wolverine: A Hilarious, Action-Packed, and Heartfelt Adventure!",9,excitement
Grab your special sock and hold on tight,9,caring
"Welcomes both the ""Merc with a Mouth"" and his clawed counterpart into the MCU with open arms",8,neutral
"Fan service, yes. Awesome, definitely.",9,admiration
EPIC,8,neutral
The badass entertainment,7,neutral
Empty entertainment,9,neutral
"It's freaking ossum, absolutely worth the wait!",7,annoyance
A wild ride of fun,5,neutral
"Loved the 1,000,000 references but a paper thin story",8,neutral
Un-shameful pleasure all the way,8,embarrassment
Definitely one of the best 250 movies of all time,9,admiration
Waited so long for this,10,desire
Marvel brings it's A-game for it's final round with Deadpool and Wolverine,9,neutral
Crazy Opinion on the Film Overall,9,surprise
What we have all wanted,6,neutral
"Deadpool/Ryan Reynolds fans won't be disappointed- one liners, violence, cameos and mayhem, just lacking a strong enough story",10,disappointment
Till you're 90 Wolverine!,9,neutral
"""You were always the wrong one, till you weren't.""",9,annoyance
The Bloodiest Mayhem Of The Century!,8,neutral
Easter Egg Heaven,10,neutral
Awesome,8,admiration
The best watch in years,9,admiration
Pure cinematic candy,9,approval
Pure bloody fun,9,amusement
A fun farewell and promising introduction,8,amusement
Half way In...,7,neutral
Fun but flawed,7,neutral
